a52dec 0.7.4-9
sdl 1.2.15-8
sdl2 2.0.5-3
sdl2-jstest-git 45.c749562-1
sdl2_image 2.0.1-2
sdl2_mixer 2.0.1-1
sdl2_ttf 2.0.14-1
sdl_image 1.2.12-4
sdl_mixer 1.2.12-5
sdl_ttf 2.0.11-4
sed 4.4-1
semver 5.3.0-1
serf 1.3.9-2
sfml 2.4.2-2
sgml-common 0.6.3-5
shadow 4.4-3
shared-color-targets 0.1.7-1
shared-mime-info 1.8-1
shc 3.9.3-1
skypeforlinux-bin 5.1.0.1-1
sl 5.02-4
smbclient 4.6.4-2
smpeg 0.4.5-3
smpeg2 1:2.0.0-2
snappy 1.1.4-1
solid 5.34.0-1
sonnet 5.34.0-1
sound-theme-freedesktop 0.8-2
soundtouch 1.9.2-1
spandsp 0.0.6-1
speech-dispatcher 0.8.7-1
speex 1.2.0-1
speexdsp 1.2rc3-2
sqlite 3.19.3-1
sshfs 2.9-1
startup-notification 0.12-5
steam 1.0.0.54-1
steam-native-runtime 1.0.0.54-3
strace 4.17-1
subversion 1.9.5-3
sudo 1.8.20.p2-1
sysfsutils 2.1.0-9
systemd 232-8
systemd-sysvcompat 232-8
t1-cursor-ib 1.0.4-2
t1lib 5.1.2-6
taglib 1.11.1-1
talloc 2.1.9-1
tar 1.29-2
tcc 0.9.26-4
tdb 1.3.12-1
telepathy-glib 0.24.1-1
telepathy-logger 0.8.2-2
telepathy-mission-control 5.16.4-2
tevent 1:0.9.31-1
tex-gyre-fonts 2.005-3
texinfo 6.3-2
texlive-bibtexextra 2016.43765-1
texlive-bin 2016.41290-12
texlive-core 2016.43757-1
texlive-fontsextra 2016.43763-1
texlive-formatsextra 2016.41438-3
texlive-games 2016.43415-1
texlive-genericextra 2016.43605-1
texlive-htmlxml 2016.43769-1
texlive-humanities 2016.43711-1
texlive-latexextra 2016.43768-1
texlive-music 2016.43375-1
texlive-pictures 2016.43767-1
texlive-plainextra 2016.43137-1
texlive-pstricks 2016.43710-1
texlive-publishers 2016.43764-1
texlive-science 2016.43747-1
the_silver_searcher 2.0.0-1
thin-provisioning-tools 0.6.3-1
tinyxml 2.6.2-5
totem 3.24.0-1
totem-plparser 3.10.7+40+g3859685-1
transmission-gtk 2.92-6
tslib 1.11-1
ttf-caladea 20130214-1
ttf-carlito 20130920-1
ttf-courier-prime 1.203-2
